,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-12-01,39799.82830667365,-60468.9048124673,116174.86744357474,39799.82830667365,39799.82830667365,-11803.688677416882,-11803.688677416882,-11803.688677416882,33.80978482664698,33.80978482664698,33.80978482664698,-11837.498462243528,-11837.498462243528,-11837.498462243528,0.0,0.0,0.0,27996.139629256766
1,2015-12-02,39798.51412235758,-45863.13941187217,122585.92584310407,39798.51412235758,39798.51412235758,-7199.32400694887,-7199.32400694887,-7199.32400694887,273.0579673214678,273.0579673214678,273.0579673214678,-7472.381974270339,-7472.381974270339,-7472.381974270339,0.0,0.0,0.0,32599.190115408706
2,2015-12-03,39797.1999380415,-51291.08638151231,119149.51787086121,39797.1999380415,39797.1999380415,-3857.844029091408,-3857.844029091408,-3857.844029091408,-938.9798368923529,-938.9798368923529,-938.9798368923529,-2918.864192199055,-2918.864192199055,-2918.864192199055,0.0,0.0,0.0,35939.35590895009
3,2015-12-04,39795.88575372543,-37040.10912567512,130356.14798985234,39795.88575372543,39795.88575372543,1564.9986650143737,1564.9986650143737,1564.9986650143737,-170.51436508233496,-170.51436508233496,-170.51436508233496,1735.5130300967085,1735.5130300967085,1735.5130300967085,0.0,0.0,0.0,41360.884418739806
4,2015-12-05,39794.57156940937,-40855.87024506516,133209.1129789176,39794.57156940937,39794.57156940937,7193.777080610185,7193.777080610185,7193.777080610185,789.8562366044042,789.8562366044042,789.8562366044042,6403.920844005781,6403.920844005781,6403.920844005781,0.0,0.0,0.0,46988.34865001955
5,2015-12-06,39793.25738509328,-38597.47459549064,138191.81121314148,39793.25738509328,39793.25738509328,10197.912370938308,10197.912370938308,10197.912370938308,-804.2575285778847,-804.2575285778847,-804.2575285778847,11002.169899516191,11002.169899516191,11002.169899516191,0.0,0.0,0.0,49991.16975603159
6,2015-12-07,39791.94320077722,-32584.738762207544,140288.7977378772,39791.94320077722,39791.94320077722,16267.569023907103,16267.569023907103,16267.569023907103,817.0277418077873,817.0277418077873,817.0277418077873,15450.541282099313,15450.541282099313,15450.541282099313,0.0,0.0,0.0,56059.512224684324
7,2015-12-08,39790.62901646115,-26451.25930620071,144289.77123596345,39790.62901646115,39790.62901646115,19709.287309592266,19709.287309592266,19709.287309592266,33.80978482507116,33.80978482507116,33.80978482507116,19675.477524767193,19675.477524767193,19675.477524767193,0.0,0.0,0.0,59499.91632605341
8,2015-12-09,39789.31483214507,-21938.167957222082,150341.37069770484,39789.31483214507,39789.31483214507,23884.151102913638,23884.151102913638,23884.151102913638,273.0579673157468,273.0579673157468,273.0579673157468,23611.093135597894,23611.093135597894,23611.093135597894,0.0,0.0,0.0,63673.46593505871
9,2015-12-10,39788.000647829,-19244.393770679206,154547.65423276363,39788.000647829,39788.000647829,26261.489094043194,26261.489094043194,26261.489094043194,-938.9798368960165,-938.9798368960165,-938.9798368960165,27200.46893093921,27200.46893093921,27200.46893093921,0.0,0.0,0.0,66049.4897418722
