,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-12-01,-14912.265931214177,-40139.30763230788,157130.9396830306,-14912.265931214177,-14912.265931214177,75136.91602240494,75136.91602240494,75136.91602240494,1068.4590929311566,1068.4590929311566,1068.4590929311566,74068.45692947377,74068.45692947377,74068.45692947377,0.0,0.0,0.0,60224.650091190764
1,2015-12-02,-14267.521735630655,-36085.20118992416,162747.2433901489,-14267.521735630657,-14267.521735630657,74256.84279777967,74256.84279777967,74256.84279777967,-163.67028623716726,-163.67028623716726,-163.67028623716726,74420.51308401684,74420.51308401684,74420.51308401684,0.0,0.0,0.0,59989.321062149014
2,2015-12-03,-13622.77754004713,-34598.06871546747,154735.1392823757,-13622.77754004713,-13622.77754004713,73465.5788195658,73465.5788195658,73465.5788195658,-1315.9441597452746,-1315.9441597452746,-1315.9441597452746,74781.52297931108,74781.52297931108,74781.52297931108,0.0,0.0,0.0,59842.801279518666
3,2015-12-04,-12978.033344463607,-35279.790485678015,156272.02775262215,-12978.033344463605,-12978.033344463605,74709.30459029225,74709.30459029225,74709.30459029225,-423.15502209253236,-423.15502209253236,-423.15502209253236,75132.45961238479,75132.45961238479,75132.45961238479,0.0,0.0,0.0,61731.27124582864
4,2015-12-05,-12333.289148880081,-28975.46620627678,162493.79859547774,-12333.289148880081,-12333.289148880081,75802.30794658118,75802.30794658118,75802.30794658118,348.8284693136829,348.8284693136829,348.8284693136829,75453.4794772675,75453.4794772675,75453.4794772675,0.0,0.0,0.0,63469.018797701094
5,2015-12-06,-11688.54495329656,-36505.779449601345,159207.5728878907,-11688.54495329656,-11688.54495329656,74644.32156549819,74644.32156549819,74644.32156549819,-1080.2426012266803,-1080.2426012266803,-1080.2426012266803,75724.56416672487,75724.56416672487,75724.56416672487,0.0,0.0,0.0,62955.77661220163
6,2015-12-07,-11043.800757713036,-33854.61547466283,160974.87584702796,-11043.800757713036,-11043.800757713036,77491.88419707643,77491.88419707643,77491.88419707643,1565.7245070609547,1565.7245070609547,1565.7245070609547,75926.15969001548,75926.15969001548,75926.15969001548,0.0,0.0,0.0,66448.0834393634
7,2015-12-08,-10399.056562129514,-33099.95886248187,168545.8573307536,-10399.056562129514,-10399.056562129514,77108.2539796782,77108.2539796782,77108.2539796782,1068.4590929303224,1068.4590929303224,1068.4590929303224,76039.79488674787,76039.79488674787,76039.79488674787,0.0,0.0,0.0,66709.19741754868
8,2015-12-09,-9754.312366545988,-30669.30323720195,163058.325792952,-9754.312366545988,-9754.312366545988,75884.9906017667,75884.9906017667,75884.9906017667,-163.67028624362536,-163.67028624362536,-163.67028624362536,76048.66088801033,76048.66088801033,76048.66088801033,0.0,0.0,0.0,66130.67823522071
9,2015-12-10,-9109.568170962466,-35351.189468614844,161977.69377211962,-9109.568170962466,-9109.568170962466,74622.19050767494,74622.19050767494,74622.19050767494,-1315.944159748278,-1315.944159748278,-1315.944159748278,75938.13466742322,75938.13466742322,75938.13466742322,0.0,0.0,0.0,65512.62233671248
10,2015-12-11,-8464.823975378942,-37068.97232812576,165239.0163332618,-8464.823975378942,-8464.823975378942,75273.07628820758,75273.07628820758,75273.07628820758,-423.15502209670797,-423.15502209670797,-423.15502209670797,75696.23131030428,75696.23131030428,75696.23131030428,0.0,0.0,0.0,66808.25231282864
11,2015-12-12,-7820.079779795419,-34260.203406984176,164136.80822823514,-7820.079779795419,-7820.079779795419,75662.80013726244,75662.80013726244,75662.80013726244,348.8284693137724,348.8284693137724,348.8284693137724,75313.97166794867,75313.97166794867,75313.97166794867,0.0,0.0,0.0,67842.72035746703
12,2015-12-13,-7175.335584211896,-31238.1383362126,162486.0673242223,-7175.335584211896,-7175.335584211896,73705.41189976834,73705.41189976834,73705.41189976834,-1080.2426012276321,-1080.2426012276321,-1080.2426012276321,74785.65450099598,74785.65450099598,74785.65450099598,0.0,0.0,0.0,66530.07631555645
